source,osm_id,name,address,postcode,lat,lng,parking_type,access,fee,capacity,opening_hours,operator,surface,lit,covered,disabled_bays,ev_charging,max_stay,supervised,osm_tags_raw,price_manual,notes
osm,way/50977652,"Car Park (53.6718, -2.9480)",,,53.6717747,-2.9479703,surface,customers,Free,5,,,,,,,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""capacity"": ""5"", ""fee"": ""no"", ""parking"": ""surface"", ""source"": ""local knowledge""}",,
osm,way/376522293,"Car Park (53.6718, -2.9640)",,,53.671844,-2.964,surface,customers,Free,,,,,,,,,,no,"{""access"": ""customers"", ""amenity"": ""parking"", ""fee"": ""no"", ""park_ride"": ""no"", ""parking"": ""surface"", ""supervised"": ""no""}",,
osm,way/376522297,"Car Park (53.6722, -2.9632)",,,53.6721669,-2.9632359,surface,customers,Free,,,,,,,,,,no,"{""access"": ""customers"", ""amenity"": ""parking"", ""fee"": ""no"", ""park_ride"": ""no"", ""parking"": ""surface"", ""supervised"": ""no""}",,
osm,way/50978640,"Car Park (53.6723, -2.9492)",,,53.6722662,-2.9491885,surface,public,Free,12,,,,,,,,,,"{""access"": ""yes"", ""amenity"": ""parking"", ""capacity"": ""12"", ""fee"": ""no"", ""parking"": ""surface""}",,
osm,way/370724278,Coach Park,,,53.6455707,-3.0228543,surface,public,,,,,,,,,,,,"{""amenity"": ""parking"", ""name"": ""Coach Park"", ""park_ride"": ""yes"", ""parking"": ""surface""}",,
osm,way/371868439,Driving Test Candidates,,,53.6438473,-3.0038402,surface,customers,,,,,,,,,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""name"": ""Driving Test Candidates"", ""park_ride"": ""no"", ""parking"": ""surface""}",,
osm,way/371898574,Drop Off/Pick Up,,,53.6470202,-3.0022173,surface,public,,,,,,,,,,,,"{""amenity"": ""parking"", ""name"": ""Drop Off/Pick Up"", ""parking"": ""surface""}",,
osm,way/265426406,King George V College Parking,,,53.6358765,-2.9780172,surface,public,,,,,,,,,,,,"{""amenity"": ""parking"", ""name"": ""King George V College Parking"", ""parking"": ""surface""}",,
osm,way/265426407,King George V College Parking,,,53.6363473,-2.9773641,surface,public,,,,,,,,,,,,"{""amenity"": ""parking"", ""name"": ""King George V College Parking"", ""parking"": ""surface""}",,
osm,way/370033090,McDonald's Parking,,,53.6321516,-2.9692998,surface,customers,Free,,,McDonald's,,,,yes,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""capacity:disabled"": ""yes"", ""fee"": ""no"", ""operator"": ""McDonald's"", ""parking"": ""surface""}",,
osm,way/168128788,Mecca Bingo Car Park,,,53.6455277,-3.0122821,surface,public,Paid,,,,,,,,,,,"{""access"": ""yes"", ""amenity"": ""parking"", ""fee"": ""yes"", ""name"": ""Mecca Bingo Car Park"", ""parking"": ""surface""}",,
osm,way/376062038,NCP Southport Promenade Car Park,,,53.6478984,-3.0093705,surface,public,Paid,,,NCP,,,,,,,,"{""amenity"": ""parking"", ""fee"": ""yes"", ""name"": ""NCP Southport Promenade Car Park"", ""operator"": ""NCP"", ""operator:type"": ""private"", ""park_ride"": ""no"", ""parking"": ""surface""}",,
osm,way/376357095,NHS Parking,,,53.6485249,-2.9703986,surface,customers,,,,NHS,,,,,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""operator"": ""NHS"", ""parking"": ""surface""}",,
osm,way/24943787,Ocean Plaza Car Park,,,53.6515797,-3.0145433,surface,customers,,,,,,,,25,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""capacity:disabled"": ""25"", ""fee"": ""Free first 3 hours, \u00a34 an hour afterwards using ANPR"", ""name"": ""Ocean Plaza Car Park"", ""parking"": ""surface""}",,
osm,way/30702825,RSPB Parking,,,53.6767189,-2.9819126,surface,public,Paid,,,RSPB,unpaved,,,,,,,"{""access"": ""yes"", ""amenity"": ""parking"", ""fee"": ""yes"", ""note"": ""Pay and Display parking for twitchers visiting the marsh"", ""operator"": ""RSPB"", ""operator:type"": ""charitable"", ""parking"": ""surface"", ""surface"": ""unpaved""}",,
osm,way/30702530,Sefton MBC Parking,,,53.6586539,-3.0056141,surface,public,Paid,,,Sefton MBC,asphalt,,,,,,,"{""access"": ""yes"", ""amenity"": ""parking"", ""fee"": ""yes"", ""operator"": ""Sefton MBC"", ""operator:type"": ""government"", ""parking"": ""surface"", ""surface"": ""asphalt""}",,
osm,way/369664617,Southport & Ainsdale Golf Club Parking,,,53.6059195,-3.0340815,surface,customers,,,,Southport & Ainsdale Golf Club,,,,3,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""capacity:disabled"": ""3"", ""operator"": ""Southport & Ainsdale Golf Club"", ""operator:type"": ""private"", ""parking"": ""surface""}",,
osm,way/41756429,UK Parking Control LTD on behalf of MWLTH NHS Trust Parking,,,53.6334559,-2.981201,surface,public,Paid,,,UK Parking Control LTD on behalf of MWLTH NHS Trust,,,,,,,,"{""amenity"": ""parking"", ""fee"": ""yes"", ""operator"": ""UK Parking Control LTD on behalf of MWLTH NHS Trust"", ""operator:type"": ""private"", ""parking"": ""surface""}",,
osm,way/42019165,"Car Park (53.6456, -3.0026)",,,53.6455975,-3.0026062,multi-storey,public,,,,,,,,,,,,"{""amenity"": ""parking"", ""building"": ""parking"", ""parking"": ""multi-storey""}",,
osm,node/11057617852,"Car Park (53.6020, -3.0422)",,,53.601961,-3.0422322,cycle-parking,public,,12,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""12"", ""covered"": ""no""}",,
osm,node/3736104355,"Car Park (53.6201, -3.0220)",,,53.6201376,-3.0220312,cycle-parking,public,,12,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""rack"", ""capacity"": ""12"", ""covered"": ""no""}",,
osm,node/3739188851,"Car Park (53.6316, -3.0070)",,,53.6316486,-3.0069763,cycle-parking,public,,2,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""2"", ""covered"": ""no"", ""mapillary"": ""842196743062377"", ""survey:date"": ""2019-12-05""}",,
osm,node/3742495038,"Car Park (53.6332, -3.0125)",,,53.6331819,-3.0124877,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""4"", ""covered"": ""no"", ""mapillary"": ""935521710547305"", ""survey:date"": ""2019-10-11""}",,
osm,node/3742555227,"Car Park (53.6340, -3.0134)",,,53.6340048,-3.0134069,cycle-parking,public,,10,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""10"", ""covered"": ""no"", ""mapillary"": ""2975826189313435"", ""survey:date"": ""2019-10-11""}",,
osm,node/2840570401,"Car Park (53.6341, -2.9695)",,,53.6341311,-2.9695376,cycle-parking,public,,2,,,,,,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""2""}",,
osm,node/3742482491,"Car Park (53.6341, -3.0132)",,,53.63414,-3.0132207,cycle-parking,public,,2,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""2"", ""covered"": ""no"", ""mapillary"": ""3839230179500449"", ""survey:date"": ""2020-03-28""}",,
osm,node/3742572718,"Car Park (53.6354, -3.0074)",,,53.6354154,-3.0074326,cycle-parking,public,,2,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""2"", ""covered"": ""no""}",,
osm,node/2318877398,"Car Park (53.6355, -2.9692)",,,53.635511,-2.96924,cycle-parking,public,,,,,,,,,,,,"{""amenity"": ""bicycle_parking""}",,
osm,node/2840580601,"Car Park (53.6355, -2.9692)",,,53.635509,-2.969217,cycle-parking,public,,,,,,,,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands""}",,
osm,node/2840590301,"Car Park (53.6427, -3.0007)",,,53.642672,-3.000747,cycle-parking,public,,,,,,,,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""front_wheel""}",,
osm,node/3754139080,"Car Park (53.6436, -3.0028)",,,53.6436414,-3.0027582,cycle-parking,public,,2,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""2"", ""covered"": ""no""}",,
osm,node/3754133785,"Car Park (53.6440, -3.0031)",,,53.6439925,-3.0031452,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""4"", ""covered"": ""no""}",,
osm,node/3754196659,"Car Park (53.6443, -3.0038)",,,53.6443292,-3.0038268,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""4"", ""covered"": ""no"", ""mapillary"": ""508896193877099"", ""survey:date"": ""2019-10-12""}",,
osm,node/3748930579,"Car Park (53.6452, -3.0047)",,,53.6452264,-3.0046647,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""4"", ""covered"": ""no"", ""mapillary"": ""808296223437344"", ""survey:date"": ""2019-10-12""}",,
osm,node/3748930578,"Car Park (53.6455, -3.0050)",,,53.6454586,-3.0049704,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""4"", ""covered"": ""no""}",,
osm,node/3794252853,"Car Park (53.6455, -3.0109)",,,53.6454891,-3.0108941,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""4"", ""covered"": ""no""}",,
osm,node/515637752,"Car Park (53.6456, -3.0100)",,,53.6455679,-3.0100393,cycle-parking,public,,2,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""capacity"": ""2"", ""covered"": ""no"", ""mapillary"": ""948370625896978"", ""survey:date"": ""2019-10-09""}",,
osm,node/515637751,"Car Park (53.6456, -3.0101)",,,53.6456077,-3.0101091,cycle-parking,public,,2,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""capacity"": ""2"", ""covered"": ""no"", ""mapillary"": ""948370625896978"", ""survey:date"": ""2019-10-09""}",,
osm,node/3747830691,"Car Park (53.6460, -3.0058)",,,53.6459555,-3.0057748,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""4"", ""covered"": ""no"", ""mapillary"": ""545890096795696"", ""survey:date"": ""2019-10-12""}",,
osm,node/2840593401,"Car Park (53.6460, -3.0071)",,,53.6460457,-3.0070896,cycle-parking,public,,,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""covered"": ""no"", ""mapillary"": ""3853971884729551"", ""survey:date"": ""2019-08-17""}",,
osm,node/2840591001,"Car Park (53.6462, -3.0068)",,,53.6461988,-3.0068489,cycle-parking,public,,,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""covered"": ""no"", ""mapillary"": ""510764810075361"", ""survey:date"": ""2019-08-20""}",,
osm,node/3794136680,"Car Park (53.6465, -3.0091)",,,53.6464505,-3.0090771,cycle-parking,public,,8,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""8"", ""covered"": ""no"", ""mapillary"": ""800296454213681"", ""survey:date"": ""2020-03-28""}",,
osm,way/343333537,"Car Park (53.6465, -3.0214)",,,53.6465207,-3.0214196,cycle-parking,public,,,,,,,,,,,,"{""amenity"": ""bicycle_parking"", ""building"": ""yes""}",,
osm,node/3794193284,"Car Park (53.6468, -3.0085)",,,53.646798,-3.008513,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""4"", ""covered"": ""no""}",,
osm,node/3501914880,"Car Park (53.6478, -3.0066)",,,53.6478147,-3.0066177,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""capacity"": ""4"", ""covered"": ""no"", ""mapillary"": ""550639386366008"", ""survey:date"": ""2019-07-29""}",,
osm,node/3501915906,"Car Park (53.6479, -3.0064)",,,53.6479135,-3.0064183,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""capacity"": ""4"", ""covered"": ""no"", ""mapillary"": ""299526381675300"", ""survey:date"": ""2020-04-21""}",,
osm,node/3788966268,"Car Park (53.6483, -3.0058)",,,53.6482838,-3.0057581,cycle-parking,public,,2,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""2"", ""check_date:capacity"": ""2024-05-28"", ""covered"": ""no""}",,
osm,node/3788940544,"Car Park (53.6486, -3.0053)",,,53.6485535,-3.0053052,cycle-parking,public,,2,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""2"", ""covered"": ""no""}",,
osm,node/3794413418,"Car Park (53.6495, -2.9917)",,,53.6495124,-2.9916762,cycle-parking,public,,2,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""2"", ""covered"": ""no""}",,
osm,node/3787604116,"Car Park (53.6498, -3.0031)",,,53.6498319,-3.0030919,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""4"", ""check_date:capacity"": ""2024-04-19"", ""covered"": ""no""}",,
osm,node/3787662755,"Car Park (53.6498, -3.0062)",,,53.6498209,-3.0061661,cycle-parking,public,,6,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""6"", ""covered"": ""no""}",,
osm,node/3755818089,"Car Park (53.6505, -2.9996)",,,53.6504539,-2.9996245,cycle-parking,public,,6,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""6"", ""covered"": ""no""}",,
osm,node/3787528720,"Car Park (53.6507, -3.0016)",,,53.6506577,-3.0015945,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""4"", ""check_date:capacity"": ""2024-04-20"", ""covered"": ""no""}",,
osm,node/3493442093,"Car Park (53.6513, -3.0143)",,,53.6512739,-3.0142956,cycle-parking,public,,10,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""10"", ""covered"": ""no"", ""mapillary"": ""503220904156487"", ""note"": ""9 stands, but too closr together to use both sides"", ""survey:date"": ""2019-08-20""}",,
osm,node/3501914892,"Car Park (53.6520, -2.9992)",,,53.6519513,-2.9991853,cycle-parking,public,,4,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""capacity"": ""4"", ""covered"": ""no"", ""mapillary"": ""144904620953057"", ""survey:date"": ""2020-04-04""}",,
osm,node/3799182669,"Car Park (53.6621, -2.9664)",,,53.6621303,-2.9664061,cycle-parking,public,,2,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""2"", ""covered"": ""no""}",,
osm,node/3799170863,"Car Park (53.6624, -2.9659)",,,53.6624233,-2.9658574,cycle-parking,public,,8,,,,,no,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""capacity"": ""8"", ""covered"": ""no""}",,
osm,node/2278873229,Southport station,,,53.6468573,-3.0020836,cycle-parking,public,,,,,,,yes,,,,,"{""amenity"": ""bicycle_parking"", ""bicycle_parking"": ""stands"", ""covered"": ""yes"", ""name"": ""Southport station""}",,
